city,latitude,longitude
Kyiv,50.4500336,30.5241361
Moscow,55.625578,37.6063916
Kharkiv,49.9923181,36.2310146
Lviv,49.841952,24.0315921
Санкт-Петербург,59.9606739,30.1586551
Мюнхен,48.1371079,11.5753822
Ужгород,48.6223731,22.3022572
Краків,50.0469432,19.9971534
Луцьк,50.7450733,25.320078
Нью-Йорк,40.7127281,-74.0060152
Нью Йорк,40.7127281,-74.0060152
Чернігів,51.494099,31.294332
С.-Петербург,59.9606739,30.1586551
Відень,48.2083537,16.3725042
Вінніпег,49.8955367,-97.1384584
"Jersey City, N. Y.",40.6448332,-74.0872649
Полтава,49.5897423,34.5507948
Едмонтон-Нью-Йорк,43.1624125,-77.542281
Дніпропетровськ,48.4680221,35.0417711
Дніпро,51.5438389,30.5726974
Відень-Київ,50.2608956,30.6397067
Рівне,50.6196175,26.2513165
Тернів,50.022072,23.925869
Жовква,50.056134,23.9711967
Нью-Йорк; Київ,49.7995247,30.1228157
Одеса,46.4843023,30.7322878
Берлін,52.510885,13.3989367
Житомир,50.2601065,28.6696281
Прага-Берлін,55.8231303,37.3727948
Белград,44.8178131,20.4568974
Prague,50.0874654,14.4212535
Прилуки,50.5885068,32.3965412
Черкаси,49.4447056,32.0588085
[Одеса],46.4843023,30.7322878
Кременчук,49.0928528,33.4308188
Чернівці,48.2864702,25.9376532
Харків-Київ,49.9615243,36.3200414
с. Биків,49.7670587,22.936549
Вінниця,49.2320162,28.467975
Київ-Харків,49.9615243,36.3200414
Кліфтон,33.0508966,-109.296182
Миколаїв,46.9758615,31.9939666
США,39.7837304,-100.445882
Бориспіль,50.3512101,30.95077
Дрогобич,49.3513996,23.5061662
Бережани,49.4450296,24.938854
Торонто,43.6534817,-79.3839347
Самбір,49.5182214,23.1970412
Кіровоград,48.5105805,32.2656283
Бобринець,48.057957,32.1653082
Львів-Торонто,43.6246644,-79.5667693
Ромни,50.74207,33.4877
Переяслав-Хмельницький,50.0643984,31.4447327
Пирятин,50.2389532,32.5026526
Івано-Франківськ,48.9224763,24.710334
Золотоноша,49.6689719,32.0427439
Дунаївці,48.886649,26.8476798
Тернопіль,49.5557908,25.5923753
Борислав,49.2824381,23.4138765
Болехів,49.0663203,23.8598949
Франція,46.603354,1.8883335
Стрий,49.255875,23.8530863
Регенсбург,49.0195333,12.0974869
Філадельфія,39.9527237,-75.1635262
Берхтесгаден,47.6330221,13.0020051
с. Іване-Золоте,48.7187271,25.6284509
Ковров,56.374603,41.311676
